bhopal male 15-21 Logical OMS DT
mumbai male 15-21 Precise OS ST
mumbai male 15-21 Logical OMS NA
bokaro female 15-21 Caution VAR ST
mumbai male 15-21 Organized VAR SE
bokaro female 21-35 Logical VAR NA
bokaro female 21_35 Logical OMS SE
indore female 21_35 Precise VAR Ref
indore male 35-50 Logical WS ST
banglore female 35-50 Precise OMS Ref
bokaro male 21_35 Logical VAR DT
banglore male 15-21 Logical OMS ST
banglore female 21-35 Caution OMS SE
bokaro male 15-21 Logical OMS NA
bokaro male 15-21 Logical OMS ST
bokaro male 15-21 Caution OS ST
indore female 21_35 Logical VAR ST
banglore male 21_35 Logical VAR DT
bokaro female 21-35 Caution OMP NA
bokaro male 21-35 Precise AS Ref
bokaro male 21-35 Caution VAR NA
banglore female 21_35 Logical OMS Ref
indore female 15-21 Careless OMP ST
mumbai female 15-21 Precise OS Ref
bokaro male 21_35 Logical OMS ST
mumbai female 21-35 Caution VAR ST
banglore male 21_35 Caution VAR ST
bokaro male 21_35 Logical VAR NA
mumbai male 15-21 Logical WS ST
bhopal male 21_35 Organized OS NA
indore female 15-21 Caution VAR NA
indore male 21-35 Careless VAR ST
indore male 15-21 Logical OS NA
bokaro male 21_35 Caution OMS NA
indore male 21_35 Logical OMS NA
indore male 15-21 Caution VAR NA
banglore male 21-35 Careless WS ST
bokaro male 21_35 Logical OMS ST
bhopal male 15-21 Logical VAR ST
banglore male 15-21 Logical WS SE
bokaro male 35-50 Logical WS NA
mumbai male 21-35 Precise VAR ST
banglore male 21-35 Precise OMS SE
indore female 15-21 Logical OMP NA
bokaro male 15-21 Logical OMS ST
bokaro male 50-60 Logical OMS DT
indore male 21_35 Organized WS ST
bokaro male 21-35 Caution WS NA
bokaro male 15-21 Logical VAR ST
mumbai female 21_35 Caution VAR SE
banglore female 15-21 Logical VAR ST
indore female 21-35 Logical VAR Ref
banglore male 35-50 Logical OS NA
indore female 15-21 Logical WS NA
indore female 21-35 Organized VAR ST
bhopal male 15-21 Precise VAR ST
indore male 21_35 Logical OMS NA
bokaro male 15-21 Logical VAR ST
bokaro female 21_35 Careless OS DT
indore male 50-60 Logical VAR NA
bokaro female 15-21 Precise OMS ST
banglore female 21_35 Caution VAR NA
bhopal female 15-21 Organized VAR NA
bokaro male 15-21 Careless WS DT
bokaro female 15-21 Careless OS SE
indore female 35-50 Logical VAR ST
indore female 15-21 Careless VAR SE
bokaro male 21_35 Caution OMS ST
banglore male 21-35 Logical VAR ST
indore male 21_35 Careless VAR ST
mumbai female 50-60 Logical OMS ST
bhopal male 21-35 Logical WS ST
banglore male 21-35 Caution VAR SE
banglore female 15-21 Logical VAR NA
banglore male 50-60 Precise OMS DT
indore male 21_35 Organized VAR SE
bokaro male 50-60 Logical WS SE
mumbai female 15-21 Caution VAR NA
indore female 21-35 Organized AS Ref
mumbai male 21_35 Precise VAR Ref
bokaro male 35-50 Logical OMS ST
banglore male 21-35 Caution OMS ST
bokaro male 21-35 Caution OS Ref
banglore female 35-50 Organized VAR ST
banglore male 21_35 Organized VAR NA
bokaro female 15-21 Caution OMS Ref
bokaro female 15-21 Caution OS NA
banglore male 21-35 Logical OMS ST
indore female 21-35 Logical VAR ST
banglore male 50-60 Logical OMP ST
bokaro male 15-21 Logical OS DT
banglore male 21_35 Caution VAR ST
mumbai female 35-50 Logical VAR Ref
banglore male 21-35 Logical OMP ST
banglore female 21_35 Logical OS NA
bhopal male 21_35 Caution WS SE
bokaro female 15-21 Logical OMP NA
bokaro female 21-35 Careless VAR DT
indore male 21-35 Logical OS Ref
indore male 21_35 Logical OMS SE
indore female 50-60 Logical OS NA
bhopal male 21_35 Logical WS NA
banglore female 21-35 Organized VAR Ref
indore male 21-35 Logical WS NA
bhopal female 50-60 Logical AS NA
mumbai female 21_35 Logical OS DT
banglore female 15-21 Logical OMS NA
indore female 15-21 Precise VAR Ref
bokaro male 50-60 Logical VAR NA
banglore female 21-35 Logical OMP Ref
bokaro male 21-35 Precise OMS ST
indore female 50-60 Precise OS SE
indore female 21-35 Logical VAR NA
banglore female 15-21 Precise OS NA
bokaro male 50-60 Precise VAR NA
bokaro male 15-21 Precise OMS ST
banglore female 21-35 Precise VAR ST
bokaro female 21_35 Logical VAR ST
indore female 50-60 Caution VAR ST
mumbai female 15-21 Precise OMS NA
indore female 21-35 Logical AS SE
indore male 15-21 Logical OMS NA
bhopal male 21_35 Caution OMS SE
bokaro female 35-50 Precise VAR NA
indore male 35-50 Careless VAR ST
indore male 35-50 Precise VAR ST
banglore male 35-50 Precise VAR SE
indore male 15-21 Precise VAR ST
indore female 21_35 Caution OMS NA
indore female 50-60 Logical OMP NA
indore male 21_35 Logical AS DT
mumbai female 21-35 Precise AS Ref
indore female 50-60 Careless WS ST
bokaro female 21_35 Caution VAR Ref
bhopal male 21-35 Careless OMS NA
bhopal female 15-21 Logical WS ST
bhopal male 21_35 Precise OMS NA
bhopal male 15-21 Careless VAR DT
bokaro female 15-21 Organized AS NA
mumbai male 21-35 Caution AS ST
indore male 35-50 Organized VAR Ref
bokaro male 21_35 Caution VAR ST
banglore female 21_35 Caution OMP ST
banglore male 50-60 Caution VAR ST
bokaro female 21_35 Precise VAR ST
mumbai male 21-35 Logical OMP NA
banglore male 35-50 Logical OS ST
bhopal male 15-21 Caution VAR DT
indore female 15-21 Precise OMS ST
bokaro male 21-35 Organized OMP Ref
indore female 15-21 Logical VAR ST
mumbai female 21_35 Logical OMS ST
banglore female 21-35 Careless AS Ref
bokaro male 21_35 Caution OMS Ref
bokaro female 15-21 Logical OMS ST
bokaro male 50-60 Organized OMS ST
bokaro male 21_35 Logical VAR ST
bokaro male 15-21 Precise AS NA
mumbai female 21_35 Caution VAR SE
bhopal male 21-35 Logical OMS NA
banglore male 15-21 Caution VAR NA
bokaro male 35-50 Logical VAR NA
bokaro female 21-35 Careless VAR ST
indore female 15-21 Caution VAR DT
mumbai male 21-35 Logical VAR NA
bokaro female 21-35 Logical VAR NA
bhopal female 15-21 Precise OMS Ref
banglore male 21_35 Logical OMS NA
banglore male 15-21 Logical AS ST
indore male 15-21 Precise AS Ref
bokaro female 35-50 Logical VAR ST
bokaro female 15-21 Precise VAR ST
bhopal male 21-35 Precise VAR NA
mumbai female 35-50 Logical OMP ST
banglore female 21_35 Logical VAR NA
bhopal male 21-35 Logical WS ST
banglore male 21-35 Logical VAR SE
bokaro female 21_35 Logical WS ST
bokaro male 15-21 Logical AS SE
bokaro male 21_35 Organized OS DT
bokaro female 21_35 Organized VAR Ref
bhopal female 21_35 Organized OS NA
mumbai female 21-35 Logical OS ST
mumbai male 50-60 Logical AS NA
indore male 15-21 Caution VAR ST
banglore male 21_35 Careless AS ST
banglore female 35-50 Logical OMS SE
mumbai male 21_35 Logical AS ST
bhopal female 50-60 Logical OS ST
